Question	Gold	Top3_Distractors	Q_Coarse	Q_Fine	Gold_spaCy	Candidate_Type
Who said that Canon law has little influence in contemporary society?	None	[]	None	None	None	set()	
What is contained in various institutions of Europe and Asia?	None	[]	None	None	None	set()	
What school of thought serves as a model for canon theory?	Aristotelian-Thomistic	['the Roman Rite', 'Latin', 'Orthodox']	None	None	NORP	{'NORP'}	
Which philosopher is quoted by the Catechism?	Aquinas	['Pius XI', 'Polly Ha', 'Arabic Qanun']	None	None	PERSON	{'PERSON'}	
What word is not specifically given meaning in the Code of the Church?	law	[]	None	None	None	set()	
What does Aquinas define as the aim toward which law is working?	the common good	[]	None	None	None	set()	
What term expresses the idea of law derived from Aquinas as interpreted by the Catechism?	a rule of conduct	['the Anglican Communion', 'Western Europe', 'Europe']	None	None	LOC	{'LOC'}	
What generally follows the principles of Aristotle and Plato?	None	[]	None	None	None	set()	
Which philosopher quoted the catechism?	None	[]	None	None	None	set()	
What term is explicitly defined in the code?	None	[]	None	None	None	set()	
What does Aquinas say is working towards the good of the church?	None	[]	None	None	None	set()	
Prior to 1917, what church was in a similar situation as the Eastern Catholic Churches as regards its legal system?	the Latin or Western Church	['Oriental Orthodox', 'the Roman Rite', 'Latin American']	None	None	NORP	{'NORP'}	
What was different about the Eastern Churches compared with the Western?	more diversity in legislation	[]	None	None	None	set()	
What was still a main factor in the Eastern Church laws?	custom	[]	None	None	None	set()	
When did Pius XI announce his goal of codifying the law of all Eastern Churches?	1929	['1917', '1990', '1983']	None	None	DATE	{'DATE'}	
During what time period were the Codes for Eastern Churches made available, prior to the final version?	1949 through 1958	[]	None	None	None	set()	
Who is in much the same state as the Latin church after 1917?	None	[]	None	None	None	set()	
What was the same in the Eastern and Western church prior to 1917?	None	[]	None	None	None	set()	
When did Pius IX announced his goal of codifying the law of all Eastern churches?	None	[]	None	None	None	set()	
What was finalized in 1958?	None	[]	None	None	None	set()	
What is still waiting to be finalized?	None	[]	None	None	None	set()	
When was the original Code of Canon Law published?	1917	['1990', '1983', '1929']	None	None	DATE	{'DATE'}	
For which part of the Roman Catholic Church was the first Code published?	the Roman Rite	['Latin American', 'Oriental Orthodox', 'Christian']	None	None	NORP	{'NORP'}	
During what years was the Second Vatican Council held?	1962 - 1965	['1500 years', '1929', '1917']	None	None	DATE	{'DATE'}	
For whom was a new edition of canon law released in 1983?	the Roman Rite	['Latin American', 'Oriental Orthodox', 'Christian']	None	None	NORP	{'NORP'}	
When was the first Code produced for Eastern Churches?	1990	['1917', '1983', '1929']	None	None	DATE	{'DATE'}	
What was published prior to 1917?	None	[]	None	None	None	set()	
When was the code of Canon Law written for all five rates?	None	[]	None	None	None	set()	
What counsel ended in 1962?	None	[]	None	None	None	set()	
What was published specifically for the Eastern right in 1983?	None	[]	None	None	None	set()	
When was the second coat of Eastern Catholic canon law published?	None	[]	None	None	None	set()	
What language is used by members of the Orthodox denomination?	Greek	['Orthodox', 'Latin', 'Oriental Orthodox']	None	None	NORP	{'NORP'}	
What are the constituents of the Pēdálion?	canons and commentaries upon them	[]	None	None	None	set()	
What does Pēdálion mean in English?	Rudder	[]	None	None	None	set()	
Which Orthodox leaders are free to adapt canon as required?	bishops	[]	None	None	None	set()	
Which groups do Orthodox scholars point to when defending their way of interpreting canon?	the Ecumenical Councils	['the Early Christian Church', 'the Council of Jerusalem', 'First Council of Nicaea']	None	None	ORG	{'ORG'}	
What denomination uses Hebrew?	None	[]	None	None	None	set()	
What tradition treats its canons more as laws?	None	[]	None	None	None	set()	
Who believes the ecumenical councils intended the cannons to be laws?	None	[]	None	None	None	set()	
What decisions of the councils are to be treated as guidelines?	None	[]	None	None	None	set()	
What are not considered essential for the church's unity?	None	[]	None	None	None	set()	
In what institution do church courts still have relevant functions in secular society?	the Church of England	['the Book of Concord', 'the Council of Jerusalem', 'the Anglican Church of Canada']	None	None	ORG	{'ORG'}	
In what century did Saxons and Normans separate?	12th	[]	None	None	None	set()	
What type of law is not found in ecclesiastical systems in the modern day?	common law	['the Church of England', 'the Council of Jerusalem', 'the Book of Concord']	None	None	ORG	{'ORG'}	
At which universities were canon law degrees abolished?	Oxford and Cambridge	[]	None	None	None	set()	
Who was responsible for banning canon law education from Oxford and Cambridge?	Henry VIII	['Polly Ha', 'John Paul II', 'Pius XI']	None	None	PERSON	{'PERSON'}	
Where do church courts no longer function in secular society?	None	[]	None	None	None	set()	
What did the Normans split away from in the 1200s?	None	[]	None	None	None	set()	
In one country is ecclesiastical matters part of a common law system?	None	[]	None	None	None	set()	
What were ecclesiastical courts prior to the Reformation in England?	None	[]	None	None	None	set()	
What universities offer Canon law degrees?	None	[]	None	None	None	set()	
What is a term for the Church of England and churches that align with it?	the Anglican Communion	['Western Europe', 'Europe']	None	None	LOC	{'LOC'}	
What is an example of a member of the Anglican Communion in America?	the Episcopal Church	['the Eastern Churches', 'the Lutheran Church', 'the Catholic Church']	None	None	ORG	{'ORG'}	
What is an example of a member of the Anglican Communion in Canada?	the Anglican Church of Canada	['the Eastern Catholic Churches', 'the Church of England', 'the Early Christian Church']	None	None	ORG	{'ORG'}	
What do extant churches of the Anglican Communion still operate with?	their own private systems of canon law	[]	None	None	None	set()	
What is a term for the church of England but not the churches that align with it?	None	[]	None	None	None	set()	
What church is Episcopal Church not affiliated with?	None	[]	None	None	None	set()	
What churches no longer operate with their own private system of canon law?	None	[]	None	None	None	set()	
As of 2004, what do all Anglican Communion Churches share?	principles of canon law	[]	None	None	None	set()	
What term characterizes the way in which the existence of canon principles can be shown?	factually	[]	None	None	None	set()	
Through what does each member of the Anglican Communion make a contribution to Church law? 	its own legal system	[]	None	None	None	set()	
What kind of force could the canonical principles be said to have within the Communion?	living	[]	None	None	None	set()	
What does having common principles show and support for churches int he Communion?	unity	[]	None	None	None	set()	
As of 2004 what to Anglican Communion churches no longer share?	None	[]	None	None	None	set()	
Anglican church law contributes to what for each of its members?	None	[]	None	None	None	set()	
What is not fundamental to self understanding of each of the churches of the Communion?	None	[]	None	None	None	set()	
What does having individual principle show?	None	[]	None	None	None	set()	
What are two other possible terms for canon law among some denominations?	"practice and procedure" or "church order"	[]	None	None	None	set()	
In what types of institutions are canon rules called "practice and procedure"?	Presbyterian and Reformed churches	[]	None	None	None	set()	
What aspect of management is covered by church order?	government	[]	None	None	None	set()	
What aspect of decorum is covered by practice and procedure?	discipline	[]	None	None	None	set()	
What aspect of faith is covered by canon law?	worship	[]	None	None	None	set()	
Canon law is different from what in other denominations?	None	[]	None	None	None	set()	
What aspect of management is not covered by church order?	None	[]	None	None	None	set()	
What aspect of the core is not covered by practice and procedures?	None	[]	None	None	None	set()	
What aspect of faith is not covered by canon law?	None	[]	None	None	None	set()	
What group took issue with the Roman canons?	the Presbyterians	[]	None	None	None	set()	
In what year was there documented criticism of Roman church law by Presbyterians?	1572	[]	None	None	None	set()	
To whom did Presbyterians complain in 1572?	Parliament	['the Church of England', 'the Council of Jerusalem', 'the Anglican Church of Canada']	None	None	ORG	{'ORG'}	
For how long did the Reformed Church state that canon had been administered by members of the church?	1500 years	['nearly 30 years later', '1962 - 1965', 'the 12th century']	None	None	DATE	{'DATE'}	
Which church officials were responsible for the administration of canon law?	bishops	[]	None	None	None	set()	
What group supported roaming cannons?	None	[]	None	None	None	set()	
What did the Presbyterians criticize in the fifteenth century?	None	[]	None	None	None	set()	
Who claimed the bishops have been enforcing canon law for 2000 years?	None	[]	None	None	None	set()	
What is a fundamental collection of documents of the Lutherans?	The Book of Concord	['the Lutheran Church', 'the Catholic Church', 'The Catholic Church']	None	None	ORG	{'ORG'}	
Beginning in what century was the Book of Concord a central part of the Lutheran Church?	16th	[]	None	None	None	set()	
What kind of statement is the Book of Concord?	confessional	['the jus novum', 'the Roman Church', 'the Catholic Church']	None	None	ORG	{'ORG'}	
What are the legislative systems of various Lutheran institutions called?	canons	[]	None	None	None	set()	
What kind of belief is the subject of the Book of Concord?	orthodox	['Reformed', 'Concord', 'Councils']	None	None	ORG	{'ORG'}	
What is the fundamental collection of documents of the Catholic Church?	None	[]	None	None	None	set()	
What book has been recognized as authoritative since the 1600s?	None	[]	None	None	None	set()	
What book has not Orthodox beliefs?	None	[]	None	None	None	set()	
How many official radio and television networks does the government of Somalia operate?	two	['ten', 'one', '234']	None	None	CARDINAL	{'CARDINAL'}	
Are communication services in Somalia mainly located in the public or private sector?	private	[]	None	None	None	set()	
As internet access increases, news media and online portals replace what form of media?	Print media	[]	None	None	None	set()	
What year was the national postal service of Somalia relaunched?	2013	['2010', '2012', '2011']	None	None	DATE	{'DATE'}	
